time_to_resolve,reassignment_count,sys_mod_count,reopen_count,priority_1 - Critical,priority_2 - High,priority_3 - Moderate,priority_4 - Low
10.216666666666667,0,0,0,0,0,1,0
10.216666666666667,0,2,0,0,0,1,0
10.216666666666667,0,3,0,0,0,1,0
10.216666666666667,0,4,0,0,0,1,0
29.2,0,0,0,0,0,1,0
29.2,1,1,0,0,0,1,0
29.2,1,2,0,0,0,1,0
29.2,1,3,0,0,0,1,0
29.2,1,4,0,0,0,1,0
29.2,1,5,0,0,0,1,0
29.2,1,6,0,0,0,1,0
29.2,1,7,0,0,0,1,0
29.2,1,8,0,0,0,1,0
20.75,0,0,0,0,0,1,0
20.75,0,1,0,0,0,1,0
20.75,0,2,0,0,0,1,0
20.75,0,3,0,0,0,1,0
20.75,0,4,0,0,0,1,0
20.75,0,5,0,0,0,1,0
20.75,0,6,0,0,0,1,0
53.46666666666667,0,0,0,0,0,1,0
53.46666666666667,0,1,0,0,0,1,0
53.46666666666667,0,2,0,0,0,1,0
53.46666666666667,0,3,0,0,0,1,0
8.883333333333333,0,0,0,0,0,1,0
8.883333333333333,0,1,0,0,1,0,0
8.883333333333333,1,2,0,0,1,0,0
8.883333333333333,1,3,0,0,1,0,0
8.883333333333333,1,4,0,0,1,0,0
8.883333333333333,1,5,0,0,1,0,0
8.883333333333333,1,6,0,0,1,0,0
8.883333333333333,1,7,0,0,1,0,0
8.883333333333333,0,0,0,0,0,1,0
8.883333333333333,0,1,0,0,0,1,0
8.883333333333333,0,2,0,0,0,1,0
8.883333333333333,0,3,0,0,0,1,0
8.883333333333333,1,4,0,0,0,1,0
8.883333333333333,1,5,0,0,0,1,0
8.883333333333333,1,6,0,0,0,1,0
8.883333333333333,1,7,0,0,0,1,0
80.83333333333333,0,0,0,0,0,1,0
80.83333333333333,0,1,0,0,0,1,0
80.83333333333333,0,2,0,0,0,1,0
80.83333333333333,1,3,0,0,0,1,0
80.83333333333333,1,4,0,0,0,1,0
80.83333333333333,1,5,0,0,0,1,0
80.83333333333333,1,6,0,0,0,1,0
80.83333333333333,1,7,0,0,0,1,0
80.83333333333333,1,8,0,0,0,1,0
55.71666666666667,0,0,0,0,0,1,0
55.71666666666667,0,2,0,0,0,1,0
55.71666666666667,0,3,0,0,0,1,0
55.71666666666667,1,4,0,0,0,1,0
55.71666666666667,2,5,0,0,0,1,0
55.71666666666667,2,6,0,0,0,1,0
55.71666666666667,3,7,0,0,0,1,0
55.71666666666667,4,8,0,0,0,1,0
55.71666666666667,5,9,0,0,0,1,0
55.71666666666667,6,10,0,0,0,1,0
55.71666666666667,6,11,0,0,0,1,0
55.71666666666667,6,12,0,0,0,1,0
55.71666666666667,6,13,0,0,0,1,0
54.56666666666667,0,0,0,0,0,1,0
54.56666666666667,1,1,0,0,0,1,0
54.56666666666667,1,2,0,0,0,1,0
54.56666666666667,1,3,0,0,0,1,0
51.13333333333333,0,0,0,0,0,1,0
51.13333333333333,0,1,0,0,0,1,0
51.13333333333333,0,2,0,0,0,1,0
51.13333333333333,0,3,0,0,0,1,0
51.13333333333333,0,4,0,0,0,1,0
51.13333333333333,1,5,0,0,0,1,0
51.13333333333333,1,6,0,0,0,1,0
51.13333333333333,1,7,0,0,0,1,0
51.13333333333333,1,8,0,0,0,1,0
51.13333333333333,1,9,0,0,0,1,0
51.13333333333333,1,10,0,0,0,1,0
193.73333333333332,0,0,0,0,0,1,0
193.73333333333332,0,1,0,0,0,1,0
193.73333333333332,0,2,0,0,0,1,0
193.73333333333332,0,3,0,0,0,1,0
193.73333333333332,1,5,0,0,0,1,0
193.73333333333332,1,7,0,0,0,1,0
193.73333333333332,1,8,0,0,0,1,0
193.73333333333332,1,9,0,0,0,1,0
26.433333333333334,0,0,0,0,0,1,0
26.433333333333334,0,1,0,0,0,1,0
26.433333333333334,0,2,0,0,0,1,0
26.433333333333334,0,3,0,0,0,1,0
26.433333333333334,0,4,0,0,0,1,0
26.433333333333334,0,5,0,0,0,1,0
26.433333333333334,0,6,0,0,0,1,0
26.433333333333334,0,7,0,0,0,1,0
31.25,0,0,0,0,0,1,0
31.25,0,2,0,0,0,1,0
31.25,1,3,0,0,0,1,0
31.25,1,4,0,0,0,1,0
31.25,1,5,0,0,0,1,0
31.25,1,6,0,0,0,1,0
1014.2666666666667,0,0,0,0,0,1,0
1014.2666666666667,0,1,0,0,0,1,0
1014.2666666666667,0,2,0,0,0,1,0
1014.2666666666667,0,9,0,0,0,1,0
1014.2666666666667,0,18,0,0,0,1,0
1014.2666666666667,0,19,0,0,0,1,0
8.033333333333333,0,0,0,0,0,1,0
8.033333333333333,0,1,0,0,0,1,0
8.033333333333333,0,2,0,0,0,1,0
0.6166666666666667,0,0,0,0,0,1,0
0.6166666666666667,0,1,0,0,0,1,0
0.6166666666666667,0,2,0,0,0,1,0
0.6166666666666667,0,3,0,0,0,1,0
0.6166666666666667,0,4,0,0,0,1,0
0.6166666666666667,0,5,0,0,0,1,0
2.8,0,0,0,0,0,1,0
2.8,1,1,0,0,0,1,0
2.8,1,2,0,0,0,1,0
2.8,1,3,0,0,0,1,0
2.8,1,4,0,0,0,1,0
51.11666666666667,0,0,0,0,0,1,0
51.11666666666667,0,1,0,0,0,1,0
51.11666666666667,0,2,0,0,0,1,0
51.11666666666667,0,3,0,0,0,1,0
51.11666666666667,0,4,0,0,0,1,0
51.11666666666667,0,5,0,0,0,1,0
51.11666666666667,0,6,0,0,0,1,0
51.11666666666667,0,7,0,0,0,1,0
7.433333333333334,0,0,0,0,0,0,1
7.433333333333334,1,1,0,0,0,0,1
7.433333333333334,1,2,0,0,0,0,1
7.433333333333334,1,3,0,0,0,0,1
7.433333333333334,1,4,0,0,0,0,1
1038.1166666666666,0,0,0,0,0,0,1
1038.1166666666666,0,1,0,0,0,0,1
1038.1166666666666,0,2,0,0,0,0,1
1038.1166666666666,0,14,0,0,0,0,1
1038.1166666666666,0,18,0,0,0,0,1
1038.1166666666666,0,19,0,0,0,0,1
54.05,0,0,0,0,0,1,0
54.05,0,4,0,0,0,1,0
54.05,0,5,0,0,0,1,0
54.05,0,6,0,0,0,1,0
31.033333333333335,0,0,0,0,0,1,0
31.033333333333335,0,1,0,0,0,1,0
31.033333333333335,0,2,0,0,0,1,0
31.033333333333335,0,3,0,0,0,1,0
31.033333333333335,1,4,0,0,0,1,0
31.033333333333335,1,5,0,0,0,1,0
31.033333333333335,1,6,0,0,0,1,0
31.033333333333335,1,7,0,0,0,1,0
31.033333333333335,1,8,0,0,0,1,0
53.983333333333334,0,0,0,0,0,1,0
53.983333333333334,0,1,0,0,0,1,0
53.983333333333334,0,2,0,0,0,1,0
53.983333333333334,0,3,0,0,0,1,0
0.2833333333333333,0,0,0,0,0,1,0
0.2833333333333333,0,1,0,0,0,1,0
0.2833333333333333,0,2,0,0,0,1,0
77.73333333333333,0,0,0,0,0,0,1
77.73333333333333,0,1,0,0,0,0,1
77.73333333333333,1,2,0,0,0,0,1
77.73333333333333,2,3,0,0,0,0,1
77.73333333333333,3,4,0,0,0,0,1
77.73333333333333,3,5,0,0,0,0,1
77.73333333333333,3,6,0,0,0,0,1
77.73333333333333,3,7,0,0,0,0,1
77.73333333333333,3,8,0,0,0,0,1
77.73333333333333,3,9,0,0,0,0,1
167.83333333333334,0,0,0,0,0,1,0
167.83333333333334,0,1,0,0,0,1,0
167.83333333333334,1,2,0,0,0,1,0
167.83333333333334,1,5,0,0,0,1,0
167.83333333333334,1,6,0,0,0,1,0
241.78333333333333,0,0,0,0,0,0,1
241.78333333333333,0,1,0,0,0,0,1
241.78333333333333,0,2,0,0,0,0,1
241.78333333333333,0,9,0,0,0,0,1
241.78333333333333,0,10,0,0,0,0,1
53.81666666666667,0,0,0,0,0,1,0
53.81666666666667,0,1,0,0,0,1,0
53.81666666666667,1,2,0,0,0,1,0
53.81666666666667,1,3,0,0,0,1,0
53.81666666666667,1,4,0,0,0,1,0
53.81666666666667,1,5,0,0,0,1,0
24.033333333333335,0,0,0,0,0,1,0
24.033333333333335,1,1,0,0,0,1,0
24.033333333333335,1,2,0,0,0,1,0
24.033333333333335,1,3,0,0,0,1,0
53.8,0,0,0,0,0,1,0
